actorseq,actorname,actorengname,actorseq
248,정라엘,,248
249,김기해,,249
250,장재영,,250
251,정예진,Jung Woo-rim,251
252,신연우,,252
253,모그,Mowg,253
254,지민,JIMIN,254
257,방예인,,257
258,윤기창,,258
259,정진우,,259
261,신영옥,,261
262,이종석,,262
263,김다미,,263
264,엄태구,,264
265,크리스 헴스워스,Chris Hemsworth,265
266,나탈리 포트만,Natalie Portman,266
267,크리스찬 베일,Christian Bale,267
268,테사 톰슨,Tessa Thompson,268
269,타이카 와이티티,Taika Waititi,269
270,러셀 크로우,Russell Crowe,270
271,제이미 알렉산더,Jaimie Alexander,271
272,크리스 프랫,Chris Pratt,272
273,데이브 바티스타,Dave Bautista,273
274,카렌 길런,Karen Gillan,274
275,폼 클레멘티프,Pom Klementieff,275
276,숀 건,Sean Gunn,276
277,빈 디젤,Vin Diesel,277
278,브래들리 쿠퍼,Bradley Cooper,278
279,벤 팔콘,Ben Falcone,279
280,스테판 커리,Stephen Curry,280
281,데일리 피어슨,Daley Pearson,281
282,스티브 카렐,Steve Carell,282
283,타라지 P.헨슨,Taraji P. Henson,283
284,양자경,Michelle Yeoh,284
285,피에르 코팽,Pierre Coffin,285
286,루시 로리스,Lucy Lawless,286
287,장 끌로드 반담,Jean Claude Van Damme,287
288,줄리 앤드류스,Julie Andrews,288
289,돌프 룬드그렌,Dolph Lundgren,289
290,대니 트레조,Danny Trejo,290
291,알란 아르킨,Alan Arkin,291
292,러셀 브랜드,Russell Brand,292
293,르자,Rza,293
294,레티티아 라이트,Letitia Wright,294
295,루피타 뇽오,Lupita Nyong'o,295
296,다나이 구리라,Danai Gurira,296
297,윈스턴 듀크,Winston Duke,297
298,안젤라 바셋,Angela Bassett,298
299,테노치 우에르타 메히아,Tenoch Huerta,299
300,마틴 프리먼,Martin Freeman,300
301,도미니크 손,Dominique Thorne,301
302,플로렌스 카숨바,Florence Kasumba,302
303,미카엘라 코엘,Michaela Coel,303
304,알렉스 리비놀리,Alex Livinalli,304
305,마벨 카데나,Mabel Cadena,305
306,이자크 드 방콜레,Isaach De Bankole,306
307,대니 사파니,Danny Sapani,307
308,자이나브 자흐,Zainab Jah,308
309,소프 알루코,Sope Aluko,309
310,코니 치우메,Connie Chiume,310
311,트레버 노아,Trevor Noah,311
312,송강호,,312
313,이병헌,Byung-hun Lee,313
314,전도연,Jeon Do Youn,314
316,임시완,,316
317,김소진,Kim So-jin,317
318,박해준,,318
319,우미화,,319
322,설인아,,322
323,권한솔,,323
324,김보민,,324
325,김국희,,325
327,이열음,,327
329,이상현,Lee Sang-hyun,329
331,남명렬,,331
332,정종열,,332
333,김호정,Ho-jeong Kim,333
334,이현균,,334
335,이수미,,335
337,지웅배,,337
338,이하은,,338
340,서혜윤,,340
341,김소운,,341
342,옥윤중,,342
343,모리스 터너 주니어,Maurice Turner Jr.,343
344,윤민수,,344
345,김한상,,345
346,황현빈,,346
347,변우종,,347
348,강준석,,348
349,하수호,,349
351,김진혁,,351
353,강영구,,353
354,윤세웅,,354
355,이미라,,355
356,석보배,,356
357,오재균,,357
358,진미사,,358
359,변진수,,359
360,왕종명,,360
361,톰 홀랜드,Tom Holland,361
362,젠데이아 콜먼,Zendaya Coleman,362
364,제이콥 배털런,Jacob Batalon,364
365,존 파브로,Jon Favreau,365
366,제이미 폭스,Jamie Foxx,366
367,윌렘 데포,Willem Dafoe,367
368,알프레도 몰리나,Alfred Molina,368
370,토니 레보로리,Tony Revolori,370
371,마리사 토메이,Marisa Tomei,371
372,앤드류 가필드,Andrew Garfield,372
373,토비 맥과이어,Tobey Maguire,373
374,앵거리 라이스,Angourie Rice,374
375,아리안 모아예드,Arian Moayed,375
376,폴라 뉴섬,Paula Newsome,376
377,한니발 버레스,Hannibal Buress,377
378,마틴 스타,Martin Starr,378
379,J.B. 스무브,J.B. Smoove,379
380,J. K. 시몬스,J. K. Simmons,380
381,리스 이판,Rhys Ifans,381
382,찰리 콕스,Charlie Cox,382
383,토마스 헤이든 처치,Thomas Haden Church,383
384,고경표,,384
385,이이경,,385
387,박세완,,387
388,이순원,,388
389,곽동연,,389
390,김민호,,390
391,김재민,,391
392,류승수,,392
395,신원호,,395
396,서정우,,396
398,오혜금,,398
399,남도윤,,399
401,탕웨이,Tang Wei,401
402,이정현,,402
404,김신영,,404
405,정영숙,Yeong-suk Jeong,405
406,유승목,,406
407,서현우,,407
408,정이서,,408
409,이학주,Lee Hak-joo,409
410,정소리,,410
411,황재원,,411
412,신안진,,412
413,김도연,,413
414,고민시,Go Min Si,414
415,차서원,Lee Chang-yeop,415
416,주인영,,416
417,손관호,,417
418,정혁,,418
419,윤성원,,419
420,최선자,,420
421,진용욱,Jin Yonguk,421
422,안진상,,422
423,정하담,JEONG HA-DAM,423
424,최대훈,,424
425,김미화,,425
426,곽은진,,426
428,김성곤,,428
429,문순주,,429
431,한서울,,431
432,김도담,Kim Do-dam,432
433,문정대,,433
434,유인혜,,434
436,유덕보,,436
437,이재하,,437
438,박용우,,438
439,박정민,,439
440,유태오,Yoo Teo,440
442,김우빈,,442
443,김태리,,443
444,소지섭,,444
445,염정아,Yeom Jeong-Ah,445
447,김의성,Kim Eui-sung,447
448,이하늬,,448
449,신정근,,449
450,이시훈,,450
452,최유리,,452
453,김기천,,453
455,차건우,,455
456,윤경호,,456
457,옥자연,,457
458,이현걸,,458
459,김민서,,459
460,김민준,,460
461,이선희,,461
462,백현주,,462
463,최광제,,463
464,심달기,,464
465,김제인,,465
466,김루아,,466
468,김단비,,468
469,장윤우,,469
471,김선혁,,471
473,김해숙,,473
475,전여빈,,475
476,정성화,,476
477,김고은,,477
478,나문희,,478
480,배정남,,480
481,이현우,,481
482,박진주,,482
483,장기용,,483
484,김승락,Kim Sungrak,484
486,나오토 노지마,Nojima Naoto,486
487,이기동,,487
488,엄지성,,488
489,허유리,,489
490,류인영,,490
491,김중돈,,491
493,권라희,,493
494,이우진,,494
497,이일화,,497
498,강하늘,,498
499,한효주,Han Hyo-joo,499
500,이광수,,500
501,권상우,Kwon Sang-Woo,501
502,채수빈,,502
503,세훈,SE HUN,503
504,김성오,,504
508,성동일,,508
509,김기두,,509
510,한재영,,510
511,원우,,511
512,김상경,Kim Sang-Gyeong,512
513,김기방,,513
515,강동원,,515
516,배두나,Bae Doo-Na,516
517,아이유,IU,517
518,이주영,Lee Joo Young,518
519,최희진,CHOI Hee-jin,519
520,류지안,,520
521,에디 레드메인,Eddie Redmayne,521
522,주드 로,Jude Law,522
523,매즈 미켈슨,Mads Mikkelsen,523
524,댄 포글러,Dan Fogler,524
525,앨리슨 수돌,Alison Sudol,525
526,에즈라 밀러,Ezra Miller,526
527,칼럼 터너,Callum Turner,527
